x,y,p
0.75,2.4054016390353566e-13,50
0.7525,3.366331886739746e-13,50
0.755,4.705893718884119e-13,50
0.7575,6.571225254758162e-13,50
0.76,9.16585157576654e-13,50
0.7625,1.2770992501499098e-12,50
0.765,1.777480931998124e-12,50
0.7675,2.471250664329831e-12,50
0.77,3.432126151392526e-12,50
0.7725,4.7615384732493565e-12,50
0.775,6.598906169558388e-12,50
0.7775,9.135665036524327e-12,50
0.78,1.2634407254550533e-11,50
0.7825,1.7454964426720643e-11,50
0.785,2.4089918530130473e-11,50
0.7875,3.321290082027428e-11,50
0.79,4.574421932757339e-11,50
0.7925,6.293994511080691e-11,50
0.795,8.65127254988824e-11,50
0.7975,1.187954657535742e-10,50
0.8,1.629628780735637e-10,50
0.8025,2.2333107101358432e-10,50
0.805,3.0576228621759573e-10,50
0.8075,4.182111727797075e-10,50
0.81,5.714614073979152e-10,50
0.8125,7.801180640264433e-10,50
0.815,1.0639432954744214e-9,50
0.8175,1.4496524497715265e-9,50
0.8200000000000001,1.9733271433998305e-9,50
0.8225,2.6836542800445854e-9,50
0.825,3.6462698098887825e-9,50
0.8275,4.9495788202494685e-9,50
0.83,6.712546797586471e-9,50
0.8325,9.095120456522949e-9,50
0.835,1.2312153388841495e-8,50
0.8375,1.6651999070089563e-8,50
0.84,2.2501314023208185e-8,50
0.8425,3.037811684482206e-8,50
0.845,4.097581334965863e-8,50
0.8475,5.5221775506450205e-8,50
0.85,7.435521935157109e-8,50
0.8525,1.0003065283195303e-7,50
0.855,1.344551740570175e-7,50
0.8575,1.8057054496008204e-7,50
0.86,2.4229444271774745e-7,50
0.8625,3.248398600483571e-7,50
0.865,4.351376234593207e-7,50
0.8675,5.823948664239083e-7,50
0.87,7.788326071334847e-7,50
0.8725,1.0406590868372214e-6,50
0.875,1.3893531999292756e-6,50
0.8775,1.853355459351836e-6,50
0.88,2.470294139356385e-6,50
0.8825000000000001,3.289913663601806e-6,50
0.885,4.377923738749575e-6,50
0.8875,5.821054774872423e-6,50
0.89,7.733692450830367e-6,50
0.8925000000000001,0.000010266577914340455,50
0.895,0.000013618207859624084,50
0.8975,0.00001804976068095359,50
0.9,0.000023904624058573908,50
0.9025,0.00003163392243624278,50
0.905,0.00004182986142150962,50
0.9075,0.00005526924780008382,50
0.91,0.00007297024396063983,50
0.9125,0.00009626631920602785,50
0.915,0.0001269025250778934,50
0.9175,0.00016716072010518926,50
0.92,0.00022002229273932676,50
0.9225,0.00028937939381651947,50
0.925,0.00038030883270774325,50
0.9275,0.000499426786037943,50
0.9299999999999999,0.0006553475191304965,50
0.9325,0.0008592756647119376,50
0.935,0.0011257695012700784,50
0.9375,0.001473722387826565,50
0.94,0.0019276212639896748,50
0.9425,0.0025191550089647763,50
0.9450000000000001,0.003289261288349326,50
0.9475,0.004290717584330807,50
0.95,0.005591398719814101,50
0.9525,0.007278336016506277,50
0.9550000000000001,0.009462716232659561,50
0.9575,0.012285941315977952,50
0.96,0.015926816110344424,50
0.9625,0.02060981481225061,50
0.965,0.026614160994297663,50
0.9675,0.034283090757869256,50
0.97,0.044032096089380954,50
0.9725,0.05635411513741494,50
0.975,0.07181854180881966,50
0.9775,0.09105967788004533,50
0.98,0.114749179546159,50
0.9825,0.1435468350456274,50
0.985,0.1780257172862874,50
0.9875,0.2185726189334684,50
0.99,0.26527338109926674,50
0.9924999999999999,0.317804159097224,50
0.995,0.3753597467054592,50
0.9975,0.43665208913957404,50
1.0,0.5,50
1.0025,0.5635049597270726,50
1.005,0.6252773399866536,50
1.0075,0.6836578755821462,50
1.01,0.7373817129543316,50
1.0125,0.7856552112177225,50
1.0150000000000001,0.8281459001842696,50
1.0175,0.8649090873926161,50
1.02,0.8962833497799403,50
1.0225,0.9227832666930482,50
1.025,0.9450075940564236,50
1.0275,0.9635706197004501,50
1.03,0.9790568896562716,50
1.0325,0.9919954647180801,50
1.0350000000000001,1.0028485637986686,50
1.0375,1.0120097463746065,50
1.04,1.0198077653378237,50
1.0425,1.0265133220793587,50
1.045,1.032346909414273,50
1.0474999999999999,1.037486650987173,50
1.05,1.0420755469263698,50
1.0525,1.0462278587616392,50
1.055,1.0500345612346293,50
1.0575,1.053567896651128,50
1.06,1.0568851204522383,50
1.0625,1.0600315466854917,50
1.065,1.0630430034682201,50
1.0675,1.0659478003969098,50
1.07,1.0687682975805683,50
1.0725,1.0715221526381797,50
1.075,1.0742233092256044,50
1.0775000000000001,1.0768827792061548,50
1.08,1.0795092607174503,50
1.0825,1.082109626114036,50
1.085,1.0846893069486452,50
1.0875,1.0872525976097125,50
1.09,1.0898028947631615,50
1.0925,1.09234288616826,50
1.095,1.0948746995869683,50
1.0975000000000001,1.0974000202440162,50
1.1,1.0999201835044496,50
1.1025,1.1024362480210557,50
1.105,1.1049490534884376,50
1.1075,1.1074592662614273,50
1.1099999999999999,1.1099674154032317,50
1.1125,1.1124739211837906,50
1.115,1.1149791176199644,50
1.1175,1.117483270311691,50
1.12,1.1199865905626385,50
1.1225,1.1224892465648193,50
1.125,1.1249913722620255,50
1.1275,1.1274930743773013,50
1.13,1.1299944379875393,50
1.1325,1.1324955309477898,50
1.135,1.1349964074043977,50
1.1375,1.1374971105860232,50
1.1400000000000001,1.1399976750220846,50
1.1425,1.1424981283069702,50
1.145,1.1449984925037262,50
1.1475,1.1474987852614515,50
1.15,1.14999902070523,50
1.1525,1.1524992101452574,50
1.155,1.1549993626421755,50
1.1575,1.1574994854579912,50
1.1600000000000001,1.159999584415912,50
1.1625,1.1624996641876377,50
1.165,1.1649997285228457,50
1.1675,1.1674997804325877,50
1.17,1.1699998223359243,50
1.1724999999999999,1.1724998561772264,50
1.175,1.1749998835200535,50
1.1775,1.1774999056223192,50
1.18,1.1799999234965097,50
1.1825,1.1824999379579437,50
1.185,1.1849999496634673,50
1.1875,1.1874999591425015,50
1.19,1.1899999668219536,50
1.1925,1.1924999730462245,50
1.195,1.1949999780932794,50
1.1975,1.1974999821875645,50
1.2,1.1999999855103918,50
1.2025000000000001,1.2024999882082958,50
1.205,1.2049999903997544,50
1.2075,1.2074999921806042,50
1.21,1.2099999936284025,50
1.2125,1.2124999948059394,50
1.215,1.214999995764073,50
1.2175,1.2174999965440139,50
1.22,1.219999997179171,50
1.2225000000000001,1.2224999976966386,50
1.225,1.2249999981184003,50
1.2275,1.2274999984623007,50
1.23,1.22999999874283,50
1.2325,1.2324999989717609,50
1.2349999999999999,1.2349999991586604,50
1.2375,1.237499999311309,50
1.24,1.2399999994360336,50
1.2425,1.2424999995379842,50
1.245,1.2449999996213534,50
1.2475,1.2474999996895546,50
1.25,1.2499999997453703,50
