x,y,p
0.75,2.391867143431464e-8,30
0.7525,2.9301964867576932e-8,30
0.755,3.587269695751999e-8,30
0.7575,4.3887499999963904e-8,30
0.76,5.3657334963927513e-8,30
0.7625,6.555875414613365e-8,30
0.765,8.004744951753582e-8,30
0.7675,9.767454073070441e-8,30
0.77,1.191061449685447e-7,30
0.7725,1.4514687579003162e-7,30
0.775,1.7676804298213852e-7,30
0.7775,2.1514147383874367e-7,30
0.78,2.616800526030508e-7,30
0.7825,3.18086284158868e-7,30
0.785,3.86410436488822e-7,30
0.7875,4.691201110672872e-7,30
0.79,5.691834396286436e-7,30
0.7925,6.901685195462361e-7,30
0.795,8.363621900270937e-7,30
0.7975,1.0129118311792674e-6,30
0.8,1.2259945538615283e-6,30
0.8025,1.4830189590188027e-6,30
0.805,1.7928656031890328e-6,30
0.8075,2.1661734381504294e-6,30
0.81,2.6156808279019412e-6,30
0.8125,3.1566313212550937e-6,30
0.815,3.80725621536332e-6,30
0.8175,4.589348133826102e-6,30
0.8200000000000001,5.528942420292576e-6,30
0.8225,6.657126182256337e-6,30
0.825,8.01099838889392e-6,30
0.8275,9.634808623541656e-6,30
0.83,0.00001158130702334709,30
0.8325,0.000013913343731308842,30
0.835,0.00001670576298564815,30
0.8375,0.000020047644948647503,30
0.84,0.00002404495772998087,30
0.8425,0.00002882369301859416,30
0.845,0.000034533571569851707,30
0.8475,0.0000413524198111482,30
0.85,0.00004949133638856633,30
0.8525,0.00005920078799460123,30
0.855,0.00007077779777135457,30
0.8575,0.00008457441752640565,30
0.86,0.00010100770756294716,30
0.8625,0.00012057148583692226,30
0.865,0.00014385015223904686,30
0.8675,0.00017153494499901666,30
0.87,0.00020444304558557612,30
0.8725,0.00024354001722394443,30
0.875,0.00028996614160278956,30
0.8775,0.0003450673099675335,30
0.88,0.0004104312301992932,30
0.8825000000000001,0.0004879298323815146,30
0.885,0.0005797688935671355,30
0.8875,0.0006885460598177486,30
0.89,0.0008173186218781856,30
0.8925000000000001,0.0009696826016755915,30
0.895,0.0011498649314140702,30
0.8975,0.0013628307559425711,30
